company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
Dr. Bronner's,2016,Overall; Community; Environment,Consumer Products & Services,Home & Personal Care,United States,California,Certified,https://bcorporation.net/directory/dr-bronners
Trillium Asset Management,2016,Overall; Customers; Workers,Financial Services,Investment Advisor,United States,Massachusetts,Certified,https://bcorporation.net/directory/trillium-asset-management
Clean Yield Asset Management,2016,Overall; Customers; Workers,Financial Services,Investment Advisor,United States,Vermont,Certified,https://bcorporation.net/directory/clean-yield-asset-management
Hybrytec Solar,2016,Overall,Building,Architecture/Design/Planning,Colombia,Antioquia,Certified,https://bcorporation.net/directory/hybrytec-solar
Via Gutenberg,2016,Overall; Customers,Business Products & Services,Management and Financial Consulting,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/gutenberg
Worldcoo,2016,Customers,Business Products & Services,IT Software & Services/Web Design,Spain,Catalonia,Certified,https://bcorporation.net/directory/worldcoo
Generous Minds,2016,Overall; Customers,Business Products & Services,Management and Financial Consulting,Netherlands,Noord-Holland,Certified,https://bcorporation.net/directory/generous-minds
"Green Retirement, Inc.",2016,Overall; Customers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/green-retirement-inc
Veris Wealth Partners,2016,Overall,Financial Services,Investment Advisor,United States,New York,Certified,https://bcorporation.net/directory/veris-wealth-partners
"The Green Engineer, Inc.",2016,Environment,Building,Architecture/Design/Planning,United States,Massachusetts,Certified,https://bcorporation.net/directory/the-green-engineer-inc
Paintbox Catering and Bistro Inc.,2016,Community,"Restaurant, Hospitality & Travel",Restaurant,Canada,Ontario,Certified,https://bcorporation.net/directory/paintbox-catering-and-bistro-inc
Blue Garnet,2016,Customers,Business Products & Services,Nonprofit Consulting & Fundraising,United States,California,Certified,https://bcorporation.net/directory/blue-garnet
Impakt,2016,Customers,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/impakt
Geco,2016,Overall; Customers,Business Products & Services,Management and Financial Consulting,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/geco
Mujeres del Pac�fico,2016,Customers,Business Products & Services,Other,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/mujeres-del-pac�fico
PEGAfrica,2016,Customers,Consumer Products & Services,Electronics,Ghana,Greater Accra,Certified,https://bcorporation.net/directory/pegafrica
The Builders Fund,2016,Customers,Financial Services,Equity Investor - Developed Markets,United States,California,Certified,https://bcorporation.net/directory/the-builders-fund
Hora Salud,2016,Customers,Health & Human Services,Healthcare Providers,Chile,Santiago,Certified,https://bcorporation.net/directory/hora-salud
Recicladora Urbana,2016,Environment,Business Products & Services,Other,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/recicladora-urbana
STC Sunbelt SpA,2016,Environment,Energy & Environmental Services,Renewable Energy Generation & Installation,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/stc-sunbelt-spa
PeaceWorks Technology Solutions,2016,Workers,Business Products & Services,IT Software & Services/Web Design,Canada,Ontario,Certified,https://bcorporation.net/directory/peaceworks-technology-solutions
Quinn & Partners Inc.,2016,Workers,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/quinn-partners-inc
Partnership Capital Growth,2016,Workers,Financial Services,Equity Investor - Developed Markets,United States,California,Certified,https://bcorporation.net/directory/partnership-capital-growth
RSF Capital Management PBC,2016,Overall; Community; Customers,Financial Services,Other,United States,California,Inactive,https://bcorporation.net/directory/rsf-capital-management-pbc
"Home Care Associates of Philadelphia, Inc.",2016,Overall; Customers; Workers,Health & Human Services,Healthcare Providers,United States,Pennsylvania,Certified,https://bcorporation.net/directory/home-care-associates-of-philadelphia-inc
Enviro-Stewards,2016,Overall,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/enviro-stewards
Council Fire LLC,2016,Overall; Workers,Business Products & Services,Sustainability Consulting,United States,Maryland,Certified,https://bcorporation.net/directory/council-fire-llc
"Imajine That, LLC",2016,Overall; Community; Customers,Education & Training Services,Education & Training Services,United States,Massachusetts,Certified,https://bcorporation.net/directory/imajine-llc
HLH,2016,Overall; Environment,Agriculture,Growers,United States,Hawaii,Certified,https://bcorporation.net/directory/hawaiian-legacy-hardwoods
Bazzani Building Company,2016,Overall; Environment; Workers,Building,Design/Build,United States,Michigan,Certified,https://bcorporation.net/directory/bazzani-building-company
"Northeast Green Building Consulting, LLC",2016,Overall; Environment,Building,Design/Build,United States,New York,Certified,https://bcorporation.net/directory/northeast-green-building-consulting-llc
Cultiva Empresa,2016,Overall; Community,Business Products & Services,Sustainability Consulting,Chile,Santiago,Certified,https://bcorporation.net/directory/cultiva-empresa
CORE Foods,2016,Environment,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/core-foods
SQUIZ,2016,Overall; Community; Environment,Consumer Products & Services,Food & Beverage,France,Yvelines,Certified,https://bcorporation.net/directory/squiz
"Greyston Bakery, Inc.",2016,Overall; Community,Consumer Products & Services,Food & Beverage,United States,New York,Certified,https://bcorporation.net/directory/greyston-bakery-inc
