company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
Investisseurs et Partenaires,2018,Customers,Financial Services,Equity Investor - Emerging Markets,France,Paris,Certified,https://bcorporation.net/directory/investisseurs-et-partenaires
Finsocial sas,2018,Customers,Financial Services,Other,Colombia,Barranquilla,Certified,https://bcorporation.net/directory/finsocial-sas
THREE SISTA'S,2018,Overall; Community; Customers,Health & Human Services,Other,Australia,Queensland,Inactive,https://bcorporation.net/directory/three-sistas
Intendu,2018,Customers,Health & Human Services,Other,Israel,Tel Aviv,Inactive,https://bcorporation.net/directory/intendu
Cometech Srl,2018,Overall; Community,Health & Human Services,Healthcare Providers,Italy,Ancona,Inactive,https://bcorporation.net/directory/cometech-srl
ZogSports,2018,Community,Health & Human Services,Other,United States,New York,Inactive,https://bcorporation.net/directory/zogsports
Ovalie Int�rim,2018,Customers; Workers,Health & Human Services,Other,France,Grand Est,Inactive,https://bcorporation.net/directory/ovalie-int�rim
Best Home Healthcare Network Inc,2018,Customers,Health & Human Services,Healthcare Providers,United States,Illinois,Inactive,https://bcorporation.net/directory/best-home-healthcare-network-inc
CareAcademy,2018,Customers,Health & Human Services,Healthcare Providers,United States,Massachusetts,Inactive,https://bcorporation.net/directory/careacademy
Renewal Care Partners,2018,Customers,Health & Human Services,Healthcare Providers,United States,New York,Certified,https://bcorporation.net/directory/renewal-care-partners
Proyecto Agua Segura,2018,Customers,Health & Human Services,Healthcare Providers,Argentina,Capital Federal,Certified,https://bcorporation.net/directory/proyecto-agua-segura
BILD,2018,Overall; Customers,Health & Human Services,Other,Bolivia,Cochabamba,Certified,https://bcorporation.net/directory/bild
Media Citizens Ltd,2018,Customers,Media,Film & Music Production,United Kingdom,London,Inactive,https://bcorporation.net/directory/media-citizens-ltd
Conscious Company Media,2018,Overall; Community,Media,Print Publications,United States,Colorado,Certified,https://bcorporation.net/directory/conscious-company-magazine
Luz Libre S.R.L.,2018,Customers,Media,Film & Music Production,Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/luz-libre-srl
Fit 4 Life NYC,2018,Overall; Community; Customers,"Restaurant, Hospitality & Travel",Travel & Leisure,United States,New York,Inactive,https://bcorporation.net/directory/fit-4-life-nyc
Smartrip,2018,Community,"Restaurant, Hospitality & Travel",Hospitality,Chile,Santiago,Certified,https://bcorporation.net/directory/smartrip
"Ocean First, LLC",2018,Changemakers,"Restaurant, Hospitality & Travel",Travel & Leisure,United States,Colorado,Certified,https://bcorporation.net/directory/ocean-first-llc
Boloco,2018,Governance,"Restaurant, Hospitality & Travel",Restaurant,United States,Massachusetts,Certified,https://bcorporation.net/directory/boloco
"Ming Yung Enterprise Co.,Ltd",2018,Overall; Community,"Restaurant, Hospitality & Travel",Restaurant,Taiwan,New Taipei City,Certified,https://bcorporation.net/directory/ming-yung-enterprise-coltd
Pixza,2018,Community,"Restaurant, Hospitality & Travel",Restaurant,Mexico,Mexico City,Certified,https://bcorporation.net/directory/pixza
Drive Change Foods LLC,2018,Governance,"Restaurant, Hospitality & Travel",Restaurant,United States,New York,Certified,https://bcorporation.net/directory/drive-change-foods-llc
"Dolphin Blue, Inc.",2018,Environment,Retail,Online Marketplace,United States,Texas,Certified,https://bcorporation.net/directory/dolphin-blue-inc
Flowers for Dreams,2018,Overall; Community,Retail,Storefront,United States,Illinois,Certified,https://bcorporation.net/directory/flowers-dreams
CAMIF MATELSOM,2018,Community,Retail,Online Marketplace,France,Poitou-Charentes,Certified,https://bcorporation.net/directory/camif-matelsom
Hiptipico,2018,Community,Retail,Online Marketplace,Guatemala,Solola,Certified,https://bcorporation.net/directory/hiptipico
Empresa Social Recidar S.A.C.,2018,Overall; Community,Retail,Storefront,Peru,Lima,Certified,https://bcorporation.net/directory/empresa-social-recidar-sac
Riley Life Logistics,2018,Community,Transportation & Logistics,Transportation & Logistics,United States,North Carolina,Inactive,https://bcorporation.net/directory/riley-life-logistics
Mejor en Bici,2018,Overall; Community; Customers,Transportation & Logistics,Transportation & Logistics,Colombia,Bogota,Certified,https://bcorporation.net/directory/mejor-en-bici
Bend Law Group,2018,Workers,Legal Services,Legal,United States,California,Inactive,https://bcorporation.net/directory/bend-law-group
Frank Bold,2018,Community,Legal Services,Legal,Czech Republic,Jihomoravsky kraj,Certified,https://bcorporation.net/directory/frank-bold
Salvos Legal,2018,Community,Legal Services,Legal,Australia,New South Wales,Certified,https://bcorporation.net/directory/salvos-legal
Cultivating Capital,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/cultivating-capital
Roundpeg Benefit LLC,2018,Governance; Changemakers,Business Products & Services,Marketing & Communications Services,United States,Maryland,Certified,https://bcorporation.net/directory/roundpeg-benefit-llc
Pegas con Sentido,2018,Governance; Changemakers,Business Products & Services,HR Consulting & Recruiting,Chile,Santiago,Certified,https://bcorporation.net/directory/pegas-con-sentido
PICnet,2018,Changemakers,Business Products & Services,IT Software & Services/Web Design,United States,District of Columbia,Certified,https://bcorporation.net/directory/picnet-inc
Beyond Green Sustainable Food Partners,2018,Changemakers,Business Products & Services,Sustainability Consulting,United States,Illinois,Certified,https://bcorporation.net/directory/beyond-green-sustainable-food-partners
Needo,2018,Changemakers,Business Products & Services,Sustainability Consulting,Chile,Santiago,Certified,https://bcorporation.net/directory/needo
WonderWorks Consulting,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/wonderworks-consulting
Broota SPA,2018,Governance,Business Products & Services,IT Software & Services/Web Design,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/broota-spa
"WasteZero, Inc.",2018,Environment,Business Products & Services,Industrial Manufacturing,United States,North Carolina,Certified,https://bcorporation.net/directory/wastezero-inc
Shared Value Solutions,2018,Changemakers,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/shared-value-solutions
MaCher USA,2018,Changemakers,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/macher-usa
Pyramid Communications,2018,Changemakers,Business Products & Services,Marketing & Communications Services,United States,Washington,Certified,https://bcorporation.net/directory/pyramid-communications
"ThinkShout, Inc",2018,Changemakers,Business Products & Services,IT Software & Services/Web Design,United States,Oregon,Certified,https://bcorporation.net/directory/thinkshout-inc
Pixel Parlor,2018,Changemakers,Business Products & Services,Marketing & Communications Services,United States,Pennsylvania,Certified,https://bcorporation.net/directory/pixel-parlor
"Seed Systems, Inc",2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,Massachusetts,Certified,https://bcorporation.net/directory/seed-systems-inc
Twelve Winds Consulting,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United Kingdom,London,Certified,https://bcorporation.net/directory/twelve-winds-consulting
Heather Paulsen Consulting,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/heather-paulsen-consulting
"Prichard Communications, Inc.",2018,Changemakers,Business Products & Services,Marketing & Communications Services,United States,Oregon,Certified,https://bcorporation.net/directory/prichard-communications-inc
New Citizenship Project,2018,Changemakers,Business Products & Services,Marketing & Communications Services,United Kingdom,London,Certified,https://bcorporation.net/directory/new-citizenship-project
Raisely,2018,Changemakers,Business Products & Services,Marketing & Communications Services,Australia,New South Wales,Certified,https://bcorporation.net/directory/agency
Cause4,2018,Changemakers,Business Products & Services,Nonprofit Consulting & Fundraising,United Kingdom,London,Certified,https://bcorporation.net/directory/cause4
One World Play Project,2018,Changemakers,Consumer Products & Services,"Sports Equipment, Toys & Accessories",United States,California,Certified,https://bcorporation.net/directory/one-world-play-project
Lotus Foods,2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/lotus-foods
Green Libros,2018,Changemakers,Consumer Products & Services,Books & Media,Chile,Santiago,Certified,https://bcorporation.net/directory/green-libros
Beautycounter,2018,Changemakers,Consumer Products & Services,Home & Personal Care,United States,California,Certified,https://bcorporation.net/directory/beautycounter
New Society Publishers,2018,Environment,Consumer Products & Services,Books & Media,Canada,British Columbia,Certified,https://bcorporation.net/directory/new-society-publishers
Cambridge Naturals,2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,Massachusetts,Certified,https://bcorporation.net/directory/cambridge-naturals
"New Chapter, Inc",2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,Vermont,Certified,https://bcorporation.net/directory/new-chapter-inc
Macphie Ltd,2018,Changemakers,Consumer Products & Services,Food & Beverage,United Kingdom,Aberdeenshire,Certified,https://bcorporation.net/directory/macphie-ltd
Elephants Delicatessen,2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/elephants-delicatessen
African Bronze Honey Company Limited,2018,Changemakers,Consumer Products & Services,Food & Beverage,Canada,Ontario,Certified,https://bcorporation.net/directory/african-bronze-honey-company-inc
Buinzoo s.a.,2018,Changemakers,Consumer Products & Services,Fine Arts,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/buinzoo-sa
MIO,2018,Changemakers,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",United States,Pennsylvania,Certified,https://bcorporation.net/directory/mio
Honest to Goodness,2018,Changemakers,Consumer Products & Services,Food & Beverage,Australia,New South Wales,Certified,https://bcorporation.net/directory/honest-to-goodness
Fetzer Vineyards,2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/fetzer-vineyards
"Garden of Life, LLC",2018,Changemakers,Consumer Products & Services,Food & Beverage,United States,Florida,Certified,https://bcorporation.net/directory/garden-of-life-llc
Thanksgiving Coffee Co.,2018,Community,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/thanksgiving-coffee-co
Fiasco Gelato,2018,Changemakers,Consumer Products & Services,Food & Beverage,Canada,Alberta,Certified,https://bcorporation.net/directory/fiasco-gelato
"Eileen Fisher, Inc.",2018,Changemakers,Consumer Products & Services,"Apparel, Footwear & Accessories",United States,New York,Certified,https://bcorporation.net/directory/eileen-fisher-inc
Emprediem,2018,Changemakers,Education & Training Services,Education & Training Services,Chile,Santiago,Certified,https://bcorporation.net/directory/emprediem
"Optimize Enterprises, PBC",2018,Governance; Changemakers,Education & Training Services,Education & Training Services,United States,California,Certified,https://bcorporation.net/directory/optimize-enterprises-pbc
Geekie,2018,Changemakers,Education & Training Services,Education & Training Services,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/geekie
Beyond English,2018,Changemakers,Education & Training Services,Education & Training Services,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/beyond-english
Summerhill,2018,Changemakers,Energy & Environmental Services,Other,Canada,Ontario,Certified,https://bcorporation.net/directory/summerhill
Wealth Enhancers,2018,Changemakers,Financial Services,Investment Advisor,Australia,Victoria,Certified,https://bcorporation.net/directory/wealth-enhancers
This is L. Inc.,2018,Overall; Community,Health & Human Services,Other,United States,California,Certified,https://bcorporation.net/directory/l-inc
"Wendel, Rosen, Black & Dean LLP",2018,Changemakers,Legal Services,Legal,United States,California,Certified,https://bcorporation.net/directory/wendel-rosen-black-dean-llp
"Immix Law Group, PC",2018,Changemakers,Legal Services,Legal,United States,Oregon,Certified,https://bcorporation.net/directory/immix-law-group-pc
Firespring,2018,Community; Governance; Changemakers,Business Products & Services,IT Software & Services/Web Design,United States,Nebraska,Certified,https://bcorporation.net/directory/firespring
Griswold and Griswold Insurance Agency,2018,Community; Governance,Financial Services,Insurance,United States,California,Certified,https://bcorporation.net/directory/griswold-and-griswold-insurance-agency
Wetherby Asset Management,2018,Customers; Workers; Changemakers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/wetherby-asset-management
AVANT Group LLC,2018,Governance; Changemakers,Business Products & Services,HR Consulting & Recruiting,United States,North Carolina,Certified,https://bcorporation.net/directory/avant-group-llc
Kinvolved,2018,Customers; Governance; Changemakers,Education & Training Services,Education & Training Services,United States,New York,Certified,https://bcorporation.net/directory/kinvolved
Grupo Educativo,2018,Customers; Governance; Changemakers,Education & Training Services,Education & Training Services,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/grupo-educativo
"Breckinridge Capital Advisors, Inc.",2018,Customers; Governance; Changemakers,Financial Services,Investment Advisor,United States,Massachusetts,Certified,https://bcorporation.net/directory/breckinridge-capital-advisors-inc
Caprock,2018,Customers; Workers,Financial Services,Investment Advisor,United States,Idaho,Certified,https://bcorporation.net/directory/the-caprock-group
REthink Development,2018,Environment; Governance,Building,Real Estate Development,United States,California,Inactive,https://bcorporation.net/directory/rethink-development
New Leaf Paper,2018,Environment; Governance; Changemakers,Business Products & Services,Office Products & Printing,United States,California,Certified,https://bcorporation.net/directory/new-leaf-paper
Myplanet,2018,Workers; Governance; Changemakers,Business Products & Services,Research & Design,Canada,Ontario,Certified,https://bcorporation.net/directory/myplanet
Enrollment Resources Inc.,2018,Workers; Governance,Education & Training Services,Education & Training Services,Canada,British Columbia,Certified,https://bcorporation.net/directory/enrollment-resources-inc
armstrong y asociados,2018,Community; Changemakers,Business Products & Services,Marketing & Communications Services,Chile,Santiago,Certified,https://bcorporation.net/directory/armstrong-y-asociados
Daproim Africa Limited,2018,Changemakers,Business Products & Services,IT Software & Services/Web Design,Kenya,Nairobi,Certified,https://bcorporation.net/directory/daproim-africa-limited
Animana,2018,Changemakers,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/animana
Meliora Cleaning Products,2018,Community,Consumer Products & Services,Home & Personal Care,United States,Illinois,Certified,https://bcorporation.net/directory/meliora-cleaning-products
Winderlea Vineyard and Winery,2018,Community; Changemakers,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/winderlea-vineyard-and-winery
Who Gives A Crap,2018,Community,Consumer Products & Services,Home & Personal Care,Australia,Victoria,Certified,https://bcorporation.net/directory/who-gives-a-crap
Funeraria del Hogar de Cristo,2018,Changemakers,Consumer Products & Services,Other,Chile,Santiago,Certified,https://bcorporation.net/directory/funeraria-del-hogar-de-cristo
Gexsi,2018,Community; Changemakers,Financial Services,Other,Germany,Berlin,Certified,https://bcorporation.net/directory/gexsi
Global Gaming Initiative,2018,Community,Media,Other,United States,Minnesota,Certified,https://bcorporation.net/directory/global-gaming-initiative
Neighbourhood Group of Companies,2018,Changemakers,"Restaurant, Hospitality & Travel",Restaurant,Canada,Ontario,Certified,https://bcorporation.net/directory/neighbourhood-group-of-companies
UncommonGoods,2018,Community; Changemakers,Retail,Online Marketplace,United States,New York,Certified,https://bcorporation.net/directory/uncommongoods
Kotmo,2018,Community,Retail,Storefront,Canada,Qu�bec,Certified,https://bcorporation.net/directory/kotmo
Estudios y Consultor�as Focus,2018,Customers; Changemakers,Business Products & Services,Other,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/estudios-y-consultor�as-focus
Roots for Sustainability (R4S),2018,Changemakers,Business Products & Services,Sustainability Consulting,Spain,Catalonia,Certified,https://bcorporation.net/directory/roots-sustainability-r4s
Baluarte Cultura,2018,Customers,Business Products & Services,Other,Brazil,RJ,Certified,https://bcorporation.net/directory/baluarte-cultura
Springboard Education in America LLC,2018,Customers,Education & Training Services,Education & Training Services,United States,Massachusetts,Certified,https://bcorporation.net/directory/springboard-education-in-america-llc
Unreasonable Group,2018,Customers; Changemakers,Education & Training Services,Education & Training Services,United States,Colorado,Certified,https://bcorporation.net/directory/unreasonable-group
Vox Capital,2018,Customers; Changemakers,Financial Services,Equity Investor - Emerging Markets,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/vox-capital
Core Capital Management,2018,Overall; Customers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/core-capital-management
LUMNI CHILE,2018,Customers,Financial Services,Other,Chile,Santiago,Certified,https://bcorporation.net/directory/lumni-chile
Zevin Asset Management,2018,Customers; Changemakers,Financial Services,Investment Advisor,United States,Massachusetts,Certified,https://bcorporation.net/directory/zevin-asset-management
"Dev Equity, LLC",2018,Customers; Changemakers,Financial Services,Equity Investor - Emerging Markets,United States,Arizona,Certified,https://bcorporation.net/directory/dev-equity-llc
Pekin Hardy Strauss Wealth Management,2018,Changemakers,Financial Services,Investment Advisor,United States,Illinois,Certified,https://bcorporation.net/directory/appleseed-capital
Earth Equity Advisors,2018,Customers; Changemakers,Financial Services,Investment Advisor,United States,North Carolina,Certified,https://bcorporation.net/directory/earth-equity-advisors
Community Sector Banking,2018,Customers; Changemakers,Financial Services,Credit Provider,Australia,Victoria,Certified,https://bcorporation.net/directory/community-sector-banking
Dolium Bodega Subterranea,2018,Environment; Changemakers,Agriculture,Agricultural Services,Argentina,Mendoza,Certified,https://bcorporation.net/directory/dolium-bodega-subterranea
Vi�a Polkura SA,2018,Environment,Agriculture,Agricultural Services,Chile,Cardenal Caro,Certified,https://bcorporation.net/directory/vi�a-polkura-sa
SES Consulting,2018,Environment,Building,Architecture/Design/Planning,Canada,British Columbia,Certified,https://bcorporation.net/directory/ses-consulting
D-Orbit,2018,Environment; Changemakers,Business Products & Services,Machinery & Equipment,Italy,Como,Certified,https://bcorporation.net/directory/d-orbit
Babo Botanicals,2018,Environment; Changemakers,Consumer Products & Services,Home & Personal Care,United States,New York,Certified,https://bcorporation.net/directory/babo-botanicals
Sokol Blosser Winery,2018,Environment; Changemakers,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/sokol-blosser-winery
PRANA,2018,Environment,Consumer Products & Services,Food & Beverage,Canada,Qu�bec,Certified,https://bcorporation.net/directory/prana-biovegan-inc
GreenSpark Energy,2018,Changemakers,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,New York,Certified,https://bcorporation.net/directory/greenspark-energy
Healthy Building Science,2018,Governance; Changemakers,Building,Other,United States,California,Certified,https://bcorporation.net/directory/healthy-building-science
Recyclebank,2018,Governance; Changemakers,Business Products & Services,Research & Design,United States,New York,Inactive,https://bcorporation.net/directory/recyclebank
SVT Group,2018,Customers; Governance; Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/svt-group
"Mightybytes, Inc.",2018,Governance; Changemakers,Business Products & Services,IT Software & Services/Web Design,United States,Illinois,Certified,https://bcorporation.net/directory/mightybytes-inc
DOJO4,2018,Governance; Changemakers,Business Products & Services,IT Software & Services/Web Design,United States,Colorado,Certified,https://bcorporation.net/directory/dojo4
SecondMuse,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,New Mexico,Certified,https://bcorporation.net/directory/secondmuse
Yin Yang Naturals,2018,Governance,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/yin-yang-naturals
LimeRed,2018,Governance; Changemakers,Business Products & Services,Research & Design,United States,Illinois,Certified,https://bcorporation.net/directory/limered-studio
REMBRE,2018,Governance; Changemakers,Business Products & Services,Sustainability Consulting,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/rembre
Boly:Welch,2018,Governance; Changemakers,Business Products & Services,Management and Financial Consulting,United States,Oregon,Certified,https://bcorporation.net/directory/bolywelch
Sierra Leadership LLC,2018,Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/sierra-leadership-llc
"Evox OmniMedia, PBC",2018,Governance,Consumer Products & Services,Home & Personal Care,United States,California,Inactive,https://bcorporation.net/directory/evox-television
Senda Athletics,2018,Governance; Changemakers,Consumer Products & Services,"Sports Equipment, Toys & Accessories",United States,California,Certified,https://bcorporation.net/directory/senda-athletics
Cage Free Productions,2018,Overall; Customers,Media,Film & Music Production,United States,California,Certified,https://bcorporation.net/directory/cage-free-productions
greenApes,2018,Governance,Media,Online Community,Italy,Firenze,Certified,https://bcorporation.net/directory/greenapes
Crystal Creek Logistics,2018,Governance; Changemakers,Transportation & Logistics,Transportation & Logistics,United States,Washington,Certified,https://bcorporation.net/directory/crystal-creek-logistics
"Blue Dot Advocates, PBC",2018,Governance; Changemakers,Legal Services,Legal,United States,Colorado,Certified,https://bcorporation.net/directory/blue-dot-advocates-pbc
Currie Communications,2018,Workers,Business Products & Services,Sustainability Consulting,Australia,Victoria,Certified,https://bcorporation.net/directory/currie-communications
Flow Office Wisdom,2018,Workers; Changemakers,Business Products & Services,Other,Canada,Ontario,Certified,https://bcorporation.net/directory/flow-office-wisdom
PixelSpoke,2018,Workers,Business Products & Services,Marketing & Communications Services,United States,Oregon,Certified,https://bcorporation.net/directory/pixelspoke
BIRDEO,2018,Workers,Business Products & Services,HR Consulting & Recruiting,France,Ile-de-France,Certified,https://bcorporation.net/directory/birdeo
Leap,2018,Workers; Changemakers,Business Products & Services,Marketing & Communications Services,United Kingdom,Cornwall,Certified,https://bcorporation.net/directory/leap
Future State,2018,Workers; Changemakers,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/future-state
Baxendale,2018,Workers,Business Products & Services,Nonprofit Consulting & Fundraising,United Kingdom,London,Certified,https://bcorporation.net/directory/baxendale
G2 Insurance Services,2018,Workers; Changemakers,Financial Services,Insurance,United States,California,Certified,https://bcorporation.net/directory/g2-insurance-services
Gardener's Supply Company,2018,Workers,Retail,Online Marketplace,United States,Vermont,Certified,https://bcorporation.net/directory/gardeners-supply-company
Moyee Coffee,2018,Community,Agriculture,Agricultural Services,Netherlands,Amsterdam,Certified,https://bcorporation.net/directory/moyee-coffee
C and L LLC dba Conscious Coffees,2018,Community,Agriculture,Agricultural Services,United States,Colorado,Certified,https://bcorporation.net/directory/c-and-l-llc-dba-conscious-coffees
Fair Game Beverage Company,2018,Community,Agriculture,Growers,United States,North Carolina,Certified,https://bcorporation.net/directory/fair-game-beverage-company
Coffee By Design,2018,Community,Agriculture,Agricultural Services,United States,Maine,Certified,https://bcorporation.net/directory/coffee-design
Asher International eco-Health Enterprises Inc.,2018,Community,Agriculture,Agricultural Services,Taiwan,Situn District,Certified,https://bcorporation.net/directory/asher-international-eco-health-enterprises-inc
Constructora L y D,2018,Community,Building,Contractors & Builders,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/constructora-l-y-d
Marmalade Fish,2018,Community,Business Products & Services,Management and Financial Consulting,United Arab Emirates,Dubai,Inactive,https://bcorporation.net/directory/marmalade-fish
Mills Office Productivity,2018,Community,Business Products & Services,Office Products & Printing,Canada,British Columbia,Certified,https://bcorporation.net/directory/mills-office-productivity
Ecosia GmbH,2018,Community; Changemakers,Business Products & Services,IT Software & Services/Web Design,Germany,Berlin,Certified,https://bcorporation.net/directory/ecosia-gmbh
Simply Straws,2018,Environment,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/simply-straws
TARGET-DDI,2018,Community,Business Products & Services,HR Consulting & Recruiting,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/target-ddi
"Image Outfitters, Inc.",2018,Community,Business Products & Services,Other,United States,Vermont,Certified,https://bcorporation.net/directory/image-outfitters-inc
S360 Sustainability Services,2018,Community,Business Products & Services,Management and Financial Consulting,Turkey,Istanbul,Certified,https://bcorporation.net/directory/s360-sustainability-services
Our Community Pty Ltd,2018,Community,Business Products & Services,IT Software & Services/Web Design,Australia,Victoria,Certified,https://bcorporation.net/directory/our-community-pty-ltd
Fluid IT,2018,Community,Business Products & Services,IT Software & Services/Web Design,United Kingdom,London,Certified,https://bcorporation.net/directory/fluid-it
Disruptive Media,2018,Community,Business Products & Services,Marketing & Communications Services,Australia,Victoria,Certified,https://bcorporation.net/directory/disruptive-media
Point Advisory Pty Ltd,2018,Community,Business Products & Services,Sustainability Consulting,Australia,Victoria,Certified,https://bcorporation.net/directory/point-advisory-pty-ltd
Creative Chi Inc,2018,Community,Business Products & Services,Marketing & Communications Services,United States,Florida,Certified,https://bcorporation.net/directory/creative-chi-inc
Adara Partners (Australia) Pty Limited,2018,Community,Business Products & Services,Other,Australia,New South Wales,Certified,https://bcorporation.net/directory/adara-partners-australia-pty-limited
Mother E,2018,Community,Consumer Products & Services,Home & Personal Care,United States,Utah,Inactive,https://bcorporation.net/directory/mother-e
Larry's Coffee,2018,Community,Consumer Products & Services,Food & Beverage,United States,North Carolina,Certified,https://bcorporation.net/directory/larrys-coffee
Peace Coffee,2018,Community,Consumer Products & Services,Food & Beverage,United States,Minnesota,Certified,https://bcorporation.net/directory/peace-coffee
Saul Good Gift Co,2018,Community,Consumer Products & Services,Food & Beverage,Canada,British Columbia,Certified,https://bcorporation.net/directory/saul-good-gift-co
Sustainable Harvest,2018,Community,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/sustainable-harvest
Oliberte Limited,2018,Community,Consumer Products & Services,"Apparel, Footwear & Accessories",Canada,Ontario,Certified,https://bcorporation.net/directory/oliberte-limited
The Tea Spot PBC,2018,Community,Consumer Products & Services,Food & Beverage,United States,Colorado,Certified,https://bcorporation.net/directory/the-tea-spot-pbc
Raven + Lily,2018,Community,Consumer Products & Services,"Apparel, Footwear & Accessories",United States,Texas,Certified,https://bcorporation.net/directory/raven-lily
ME to WE,2018,Overall; Community,Consumer Products & Services,Jewelry,Canada,ON,Certified,https://bcorporation.net/directory/me-to-we
100km Foods Inc.,2018,Community,Consumer Products & Services,Food & Beverage,Canada,Ontario,Certified,https://bcorporation.net/directory/100km-foods-inc
Amavida Coffee and Trading,2018,Overall; Community; Governance; Changemakers,Consumer Products & Services,Food & Beverage,United States,Florida,Certified,https://bcorporation.net/directory/amavida-coffee-and-trading
Cielo Hammocks,2018,Community,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",Mexico,Yucatan,Certified,https://bcorporation.net/directory/cielo-hammocks
Bi-Rite Market,2018,Community,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/bi-rite-market
Aguas Santa Amalia S.A.,2018,Community,Consumer Products & Services,Food & Beverage,Chile,Region De La Araucanoa,Certified,https://bcorporation.net/directory/aguas-santa-amalia-sa
Eat Me Chutneys,2018,Community,Consumer Products & Services,Food & Beverage,Australia,New South Wales,Certified,https://bcorporation.net/directory/eat-me-chutneys
Kuli Kuli,2018,Governance,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/kuli-kuli
Grey Rock Clothing Co.,2018,Community,Consumer Products & Services,"Apparel, Footwear & Accessories",Canada,Ontario,Certified,https://bcorporation.net/directory/grey-rock-clothing-co
Happy Valley Meat Company,2018,Community,Consumer Products & Services,Food & Beverage,United States,New York,Certified,https://bcorporation.net/directory/happy-valley-meat-company
Soapbox,2018,Community,Consumer Products & Services,Home & Personal Care,United States,District of Columbia,Certified,https://bcorporation.net/directory/soapbox-soaps
Alcag�ete,2018,Community,Consumer Products & Services,Food & Beverage,Colombia,Bogota,Certified,https://bcorporation.net/directory/alcag�ete
FC BOLA,2018,Community,Consumer Products & Services,"Sports Equipment, Toys & Accessories",Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/fc-bola
Sunshine Nut Company,2018,Community,Consumer Products & Services,Food & Beverage,Mozambique,Unknown,Certified,https://bcorporation.net/directory/sunshine-nut-company
High Park Brewery,2018,Community,Consumer Products & Services,Food & Beverage,Canada,Ontario,Certified,https://bcorporation.net/directory/high-park-brewery
Just Coffee Cooperative,2018,Community,Consumer Products & Services,Food & Beverage,United States,Wisconsin,Certified,https://bcorporation.net/directory/just-coffee-cooperative
Higher Grounds Trading Company,2018,Community,Consumer Products & Services,Food & Beverage,United States,Michigan,Certified,https://bcorporation.net/directory/higher-grounds-trading-company
Commonhouse Ales,2018,Community,Consumer Products & Services,Food & Beverage,United States,Ohio,Certified,https://bcorporation.net/directory/commonhouse-ales
"Stroopies, Inc.",2018,Community; Changemakers,Consumer Products & Services,Food & Beverage,United States,Pennsylvania,Certified,https://bcorporation.net/directory/the-stroopie-co
